time,lc1,lc2,lc3,lc4
35,474.81,828.39,631.01,831.24
131,470.9,826.39,627.09,820.05
229,472.23,822.95,624.33,810.9
326,471.63,822.48,624.64,810.67
424,472.21,822.84,623.94,811.64
521,471.5,823.07,623.96,811.48
618,471.19,823.75,624.82,811.94
717,471.43,822.0,624.91,811.64
814,471.97,823.23,624.59,810.86
911,471.12,823.18,624.22,810.83
1009,471.1,823.09,624.06,810.05
1107,471.57,823.07,623.82,810.14
1205,470.99,822.91,623.87,811.16
1302,470.99,822.16,624.06,810.3
1400,471.14,821.59,624.2,810.05
1498,471.01,821.98,624.87,810.63
1595,471.9,822.52,623.66,809.98
1693,473.17,823.2,623.48,810.49
1790,472.97,822.89,624.59,810.12
1888,471.9,823.14,624.75,811.48
1985,471.97,823.14,625.1,810.6
2083,472.12,822.25,624.91,810.63
2181,471.81,821.54,624.75,810.77
2279,471.37,820.45,625.73,810.24
2376,471.17,821.07,625.73,809.27
2474,471.19,822.0,624.38,809.34
2571,471.21,823.23,624.52,810.21
2669,471.86,824.02,625.03,810.26
2767,474.5,824.5,625.4,810.58
2864,487.42,825.16,629.37,810.44
2962,538.61,831.6,645.42,814.84
3060,621.29,864.71,681.35,837.05
3157,657.87,963.95,710.83,896.78
3255,700.06,1046.1,728.51,954.78
3352,863.92,1200.66,784.46,1007.04
3450,1145.85,1488.35,931.29,1127.07
3548,1556.84,1994.97,1223.85,1433.75
3646,1889.56,2659.9,1659.53,1919.62
3743,1951.82,3156.53,2056.93,2509.21
3840,1812.26,3275.37,2294.32,3103.27
3938,1439.92,3081.81,2331.34,2942.76
4036,959.63,2472.27,2073.47,2386.27
4133,667.9,1695.7,1510.42,1623.6
4231,617.07,1215.01,1065.81,1132.99
4329,768.97,1059.05,859.62,1014.87
4427,1052.3,1185.51,864.4,1215.39
4524,1350.28,1580.77,1089.96,1659.79
4622,1611.68,2041.99,1422.92,2140.59
4719,1589.04,2461.58,1735.29,2564.88
4817,1234.42,2603.81,1871.12,2589.16
4914,950.38,2284.61,1691.26,2093.3
5013,1025.7,1809.65,1390.14,1590.94
5110,1384.54,1675.04,1239.53,1545.98
5207,1826.56,2043.51,1450.69,2027.01
5305,2204.73,2707.05,1894.74,2635.9
5402,2357.1,3316.34,2268.81,3181.86
5500,1926.8,3794.32,2568.23,3570.61
5598,1171.07,3774.85,2563.68,3301.09
5696,783.2,2883.57,1992.93,2244.96
5793,798.32,1784.4,1286.43,1413.65
5890,1030.44,1316.06,1006.8,1260.54
5988,1348.36,1753.15,1091.14,1489.91
6086,1593.33,2228.43,1328.09,1928.19
6184,1432.71,2607.86,1684.69,2471.04
6281,876.29,2346.36,1927.31,2634.56
6378,555.22,1523.93,1604.55,1914.21
6476,494.56,989.72,1017.03,1089.48
6574,496.38,837.69,711.32,818.23
6670,492.42,832.51,653.52,804.45
6769,487.55,830.48,652.59,802.45
6866,485.6,817.81,647.44,793.93
6964,492.36,812.08,643.24,793.17
7061,518.8,816.54,642.38,795.17
7159,595.72,842.74,644.84,802.52
7257,735.35,923.12,662.42,844.37
7354,992.03,1087.09,739.02,985.16
7452,1400.04,1381.41,885.25,1235.08
7550,1677.5,1910.98,1144.42,1662.83
7648,1349.83,2582.81,1552.5,2300.17
7746,850.78,2626.39,1874.35,2671.49
7843,675.64,1803.67,971.28,2032.65
7940,762.94,1207.89,792.18,1254.75
8038,1014.38,1106.2,898.77,1031.8
8136,1300.13,1329.0,1154.63,1228.63
8233,1643.25,1736.91,1445.35,2085.84
8331,1926.47,2184.94,1809.86,2621.73
8429,1654.8,2765.87,2171.73,3130.49
8527,1058.48,3140.38,1893.23,2718.04
8623,671.32,1606.42,1173.21,1640.97
8721,522.0,1078.45,772.63,996.56
8819,486.6,862.58,660.57,822.7
8917,495.4,813.97,655.77,810.97
9014,534.52,836.1,694.57,851.61
9111,642.02,915.28,800.77,973.14
9210,854.27,1125.17,1013.73,1217.18
9307,1146.78,1583.2,1366.48,1591.36
9405,1434.2,2240.14,1835.26,2075.56
9502,1507.81,2943.68,2369.43,2646.19
9600,1248.07,3306.65,2591.35,2970.75
9698,806.31,2854.73,2109.47,2570.34
9795,531.85,1904.54,1313.11,1685.41
9892,486.27,1084.68,790.35,1006.86
9990,485.4,827.44,650.2,805.63
10087,485.98,807.31,641.78,793.35
10185,485.66,807.58,642.54,793.24
10283,488.8,808.99,641.66,792.5
10381,480.06,806.56,635.07,796.42
10478,400.96,781.76,605.27,802.06
10576,336.32,712.39,531.76,724.02
10673,330.29,592.16,460.59,585.07
10771,330.23,537.07,445.74,543.59
10868,329.09,537.19,446.76,541.47
10966,327.91,537.53,446.6,540.94
11064,328.27,537.01,446.83,540.41
11162,328.16,537.62,447.21,540.57
11259,328.25,536.78,448.5,540.94
11357,328.47,536.92,448.32,541.47
11454,328.58,538.51,447.07,541.4
11552,328.34,537.57,446.6,539.86
11650,328.96,536.92,446.83,540.04
11748,329.49,535.85,447.46,541.01
11845,328.82,536.39,449.04,541.1
11942,328.45,536.55,449.13,540.53
12040,328.65,536.23,448.3,540.78
12138,327.78,536.48,447.62,541.19
12235,327.85,536.73,447.16,541.29
12333,328.0,537.92,447.88,541.4
12431,328.02,538.39,447.07,541.88
12528,326.96,537.55,447.46,541.88
12626,327.69,537.6,448.55,540.76
12724,327.51,537.14,448.2,540.04
12821,325.6,537.92,447.44,540.55
12919,324.22,538.67,446.28,542.76
13016,328.31,541.69,443.42,548.86
13114,334.65,545.56,444.93,555.87
13212,367.38,551.27,457.74,569.36
13310,427.22,561.89,463.14,604.08
13407,461.83,614.38,508.82,706.9
13504,424.93,701.63,582.65,784.9
13602,338.83,722.04,556.11,697.99
13699,260.38,617.09,418.53,528.8
13797,223.29,391.71,318.33,399.35
13895,205.38,349.54,278.78,337.64
13993,198.25,323.18,261.4,317.25
14090,194.38,309.47,253.91,313.77
14187,194.38,303.73,250.68,310.25
14285,194.29,304.76,250.24,309.28
14383,193.8,305.08,250.43,309.93
14480,194.24,303.64,250.55,309.42
14578,194.8,303.1,249.64,309.01
14676,194.64,303.94,249.76,309.61
14773,194.11,304.71,250.8,309.65
14871,193.44,303.48,250.96,308.57
14969,192.84,303.21,250.31,308.68
15066,193.35,303.51,250.94,309.05
15164,193.55,304.1,250.92,308.43
15262,193.49,303.71,249.5,307.88
15359,194.22,304.37,249.39,308.89
15457,194.82,304.37,251.15,310.09
15554,194.8,304.35,250.96,309.79
15652,194.07,303.6,251.06,309.38
15750,193.53,303.83,252.08,309.49
15847,193.73,304.55,250.96,309.38
15945,193.91,303.64,250.41,309.01
