time,lc1,lc2,lc3,lc4
1213,-3.18,0.39,31.15,-9.84
1307,-2.56,0.52,33.8,-10.87
1403,-2.25,0.86,33.03,-11.13
1498,-0.49,3.05,18.74,-13.71
1594,8.25,3.32,6.54,-14.35
1689,6.36,3.18,2.76,-15.0
1785,0.13,2.96,1.25,-16.38
1881,1.91,3.41,0.26,-16.42
1976,6.14,3.84,-1.41,-19.92
2072,4.02,4.12,-3.32,-21.45
2167,4.47,5.0,-4.59,-21.24
2263,11.67,6.71,-5.36,-21.72
2359,13.41,8.39,-5.87,-22.64
2455,13.83,8.78,-7.14,-24.79
2550,18.03,8.26,-5.92,-26.19
2646,13.56,7.92,-5.92,-27.34
2741,14.54,7.64,-8.84,-26.74
2837,12.94,7.67,-12.73,-26.12
2932,8.85,8.17,-11.48,-27.09
3028,6.76,7.3,-10.21,-29.3
3123,10.54,7.35,-10.3,-32.16
3219,6.29,8.35,-9.0,-31.93
3315,5.94,8.46,-10.39,-31.56
3410,10.1,8.39,-11.06,-31.12
3505,14.1,7.8,-12.8,-31.6
3601,9.14,7.51,-13.18,-30.91
3697,-0.27,7.53,-11.53,-31.88
3792,-0.71,7.01,-12.46,-34.0
3888,-0.89,5.96,-13.34,-33.08
3983,-2.85,5.78,-14.78,-34.0
4079,-13.28,5.69,-14.98,-35.8
4175,-13.41,5.23,-14.52,-35.84
4270,-11.07,4.64,-15.47,-34.39
4366,-5.23,4.05,-16.45,-35.38
4461,-0.22,6.14,-18.42,-37.09
4557,1.11,7.28,-24.77,-37.45
4653,1.87,6.28,-29.27,-37.5
4749,-0.18,6.85,-31.45,-37.98
4848,-0.51,7.82,-30.85,-35.33
4946,-2.09,7.44,-30.13,-36.65
5043,-0.2,7.98,-32.15,-37.06
5140,0.93,8.28,-32.64,-37.36
5239,0.11,7.28,-33.47,-36.62
5335,1.8,6.82,-33.54,-38.12
5433,4.6,5.37,-33.08,-39.07
5532,4.43,4.25,-31.76,-37.5
5629,1.49,4.69,-31.71,-37.75
5727,1.29,6.12,-31.13,-38.93
5824,-2.36,6.57,-33.26,-39.07
5922,-2.22,7.48,-38.74,-38.56
6020,-1.76,9.62,-41.31,-38.35
6117,-3.0,10.51,-39.23,-38.81
6216,-2.87,10.33,-38.11,-39.32
6313,-5.47,10.28,-39.43,-39.83
6411,-3.67,10.62,-41.5,-38.61
6508,-9.74,11.14,-42.54,-38.35
