time,lc1,lc2,lc3,lc4
48,-29.22,-1.11,-21.29,-41.83
144,-18.84,-0.75,-20.48,-42.34
241,8.01,-0.05,-16.77,-41.44
338,23.64,0.05,-18.33,-40.08
436,44.72,-0.23,-20.64,-40.47
535,72.14,-0.41,-22.06,-40.84
632,97.56,-0.48,-22.57,-42.75
730,113.57,-0.48,-21.64,-41.58
827,117.01,0.25,-22.48,-40.29
926,93.86,0.48,-22.62,-40.45
1023,58.11,-0.5,-21.13,-41.67
1121,15.43,-2.0,-19.11,-42.87
1220,-5.67,-0.64,-19.93,-43.51
1317,-5.76,-0.39,-22.87,-44.89
1415,-6.43,-0.45,-23.52,-44.94
1512,-12.83,-0.84,-24.01,-43.1
1610,-10.67,0.34,-21.71,-42.75
1708,-7.98,-0.66,-19.32,-42.98
1806,-11.94,0.23,-16.38,-41.9
1903,-11.45,0.77,-14.06,-40.1
2001,-11.76,0.48,-13.83,-42.98
2099,-13.21,0.93,-11.92,-43.79
2196,-17.86,-0.5,-8.77,-43.83
2295,-12.28,-1.66,-2.04,-45.82
2391,-4.85,-1.18,0.95,-45.93
2489,-9.05,-0.59,1.67,-44.99
2587,-13.21,-1.02,2.16,-47.61
2683,-6.52,-0.86,4.13,-48.28
